Date,SO2 µg/m3,Nox µg/m3,RSPM µg/m3,SPM,CO2 µg/m3,AQI,Location
25-03-2009,22,19,151.0,,,134.0,MPCB-KR
30-03-2009,26,23,165.0,,,143.0,MPCB-KR
31-03-2009,25,23,155.0,,,137.0,MPCB-KR
2009-01-04 00:00:00,20,20,150.0,,,133.0,MPCB-KR
2009-02-04 00:00:00,19,19,150.0,,,133.0,MPCB-KR
2009-03-04 00:00:00,19,19,138.0,,,125.0,MPCB-KR
2009-04-04 00:00:00,17,16,136.0,,,124.0,MPCB-KR
2009-05-04 00:00:00,17,18,138.0,,,125.0,MPCB-KR
2009-06-04 00:00:00,18,21,155.0,,,137.0,MPCB-KR
2009-07-04 00:00:00,22,20,161.0,,,141.0,MPCB-KR
2009-08-04 00:00:00,19,16,128.0,,,119.0,MPCB-KR
2009-09-04 00:00:00,22,21,119.0,,,113.0,MPCB-KR
2009-10-04 00:00:00,23,21,166.0,,,144.0,MPCB-KR
2009-11-04 00:00:00,23,25,138.0,,,125.0,MPCB-KR
2009-12-04 00:00:00,23,18,136.0,,,124.0,MPCB-KR
13-04-2009,21,22,127.0,,,118.0,MPCB-KR
14-04-2009,25,15,126.0,,,117.0,MPCB-KR
15-04-2009,23,18,107.0,,,105.0,MPCB-KR
16-04-2009,23,15,107.0,,,105.0,MPCB-KR
17-04-2009,22,15,131.0,,,121.0,MPCB-KR
18-04-2009,25,20,165.0,,,143.0,MPCB-KR
19-04-2009,20,13,137.0,,,125.0,MPCB-KR
21-04-2009,15,13,133.0,,,122.0,MPCB-KR
22-04-2009,18,15,160.0,,,140.0,MPCB-KR
23-04-2009,17,14,172.0,,,148.0,MPCB-KR
24-04-2009,22,18,184.0,,,156.0,MPCB-KR
25-04-2009,24,22,169.0,,,146.0,MPCB-KR
26-04-2009,24,19,155.0,,,137.0,MPCB-KR
27-04-2009,22,18,145.0,,,130.0,MPCB-KR
28-04-2009,18,16,126.0,,,117.0,MPCB-KR
29-04-2009,18,15,125.0,,,117.0,MPCB-KR
30-04-2009,20,17,108.0,,,105.0,MPCB-KR
2009-01-05 00:00:00,15,17,107.0,,,105.0,MPCB-KR
2009-02-05 00:00:00,19,14,110.0,,,107.0,MPCB-KR
2009-03-05 00:00:00,18,15,117.0,,,111.0,MPCB-KR
2009-04-05 00:00:00,19,18,112.0,,,108.0,MPCB-KR
2009-05-05 00:00:00,14,15,109.0,,,106.0,MPCB-KR
2009-06-05 00:00:00,17,14,114.0,,,109.0,MPCB-KR
2009-07-05 00:00:00,19,20,133.0,,,122.0,MPCB-KR
2009-08-05 00:00:00,21,18,139.0,,,126.0,MPCB-KR
2009-09-05 00:00:00,20,15,128.0,,,119.0,MPCB-KR
2009-10-05 00:00:00,20,16,102.0,,,101.0,MPCB-KR
2009-11-05 00:00:00,18,13,93.0,,,93.0,MPCB-KR
2009-12-05 00:00:00,18,17,104.0,,,103.0,MPCB-KR
13-05-2009,14,14,122.0,,,115.0,MPCB-KR
14-05-2009,13,16,110.0,,,107.0,MPCB-KR
16-05-2009,13,16,101.0,,,101.0,MPCB-KR
17-05-2009,13,15,107.0,,,105.0,MPCB-KR
19-05-2009,16,15,100.0,,,100.0,MPCB-KR
20-05-2009,16,20,95.0,,,95.0,MPCB-KR
21-05-2009,15,18,88.0,,,88.0,MPCB-KR
23-05-2009,18,17,104.0,,,103.0,MPCB-KR
24-05-2009,15,18,88.0,,,88.0,MPCB-KR
26-05-2009,19,18,112.0,,,108.0,MPCB-KR
27-05-2009,13,17,90.0,,,90.0,MPCB-KR
28-05-2009,13,17,88.0,,,88.0,MPCB-KR
29-05-2009,12,BDL - 6,85.0,,,85.0,MPCB-KR
2009-02-06 00:00:00,16,19,95.0,,,95.0,MPCB-KR
2009-03-06 00:00:00,13,15,116.0,,,111.0,MPCB-KR
2009-04-06 00:00:00,16,19,95.0,,,95.0,MPCB-KR
2009-05-06 00:00:00,15,18,88.0,,,88.0,MPCB-KR
2009-06-06 00:00:00,13,15,83.0,,,83.0,MPCB-KR
2009-07-06 00:00:00,14,16,95.0,,,95.0,MPCB-KR
2009-08-06 00:00:00,13,15,94.0,,,94.0,MPCB-KR
2009-09-06 00:00:00,12,15,88.0,,,88.0,MPCB-KR
2009-10-06 00:00:00,12,16,83.0,,,83.0,MPCB-KR
2009-11-06 00:00:00,13,18,78.0,,,78.0,MPCB-KR
2009-12-06 00:00:00,12,16,82.0,,,82.0,MPCB-KR
13-06-2009,12,14,87.0,,,87.0,MPCB-KR
14-06-2009,12,15,94.0,,,94.0,MPCB-KR
15-06-2009,12,14,84.0,,,84.0,MPCB-KR
16-06-2009,12,15,91.0,,,91.0,MPCB-KR
18-06-2009,12,16,103.0,,,102.0,MPCB-KR
19-06-2009,12,14,80.0,,,80.0,MPCB-KR
20-06-2009,16,15,59.0,,,59.0,MPCB-KR
21-06-2009,21,22,64.0,,,64.0,MPCB-KR
22-06-2009,8,14,52.0,,,52.0,MPCB-KR
24-06-2009,20,10,50.0,,,50.0,MPCB-KR
25-06-2009,BDL - 2,11,58.0,,,58.0,MPCB-KR
27-06-2009,BDL - 2,BDL - 7,51.0,,,51.0,MPCB-KR
28-06-2009,BDL - 2,BDL - 7,38.0,,,38.0,MPCB-KR
29-06-2009,BDL - 2,18,78.0,,,78.0,MPCB-KR
30-06-2009,BDL - 2,9,69.0,,,69.0,MPCB-KR
2009-01-07 00:00:00,BDL - 2,BDL - 5,48.0,,,48.0,MPCB-KR
2009-02-07 00:00:00,BDL - 2,13,49.0,,,49.0,MPCB-KR
2009-03-07 00:00:00,BDL - 2,9,42.0,,,42.0,MPCB-KR
2009-04-07 00:00:00,BDL - 2,BDL - 7,39.0,,,39.0,MPCB-KR
2009-05-07 00:00:00,BDL - 2,BDL - 6,57.0,,,57.0,MPCB-KR
2009-06-07 00:00:00,BDL - NA,10,34.0,,,34.0,MPCB-KR
2009-07-07 00:00:00,BDL - 2,11,30.0,,,30.0,MPCB-KR
2009-08-07 00:00:00,BDL - NA,11,42.0,,,42.0,MPCB-KR
2009-09-07 00:00:00,BDL - NA,10,40.0,,,40.0,MPCB-KR
2009-10-07 00:00:00,BDL - NA,11,35.0,,,35.0,MPCB-KR
13-07-2009,BDL - 2,BDL - 8,68.0,,,68.0,MPCB-KR
14-07-2009,BDL - 2,11,30.0,,,30.0,MPCB-KR
15-07-2009,BDL - 2,11,48.0,,,48.0,MPCB-KR
16-07-2009,BDL - 2,9,48.0,,,48.0,MPCB-KR
17-07-2009,BDL - 2,BDL - 8,76.0,,,76.0,MPCB-KR
18-07-2009,BDL - 2,BDL - 6,80.0,,,80.0,MPCB-KR
19-07-2009,BDL - 2,BDL - 6,89.0,,,89.0,MPCB-KR
20-07-2009,BDL - 2,BDL - 6,65.0,,,65.0,MPCB-KR
21-07-2009,BDL - 2,13,48.0,,,48.0,MPCB-KR
23-07-2009,4,9,46.0,,,46.0,MPCB-KR
24-07-2009,BDL - 2,BDL - 8,45.0,,,45.0,MPCB-KR
25-07-2009,BDL - 2,BDL - 8,48.0,,,48.0,MPCB-KR
26-07-2009,BDL - 2,BDL - 7,44.0,,,44.0,MPCB-KR
27-07-2009,BDL - 2,BDL - 8,46.0,,,46.0,MPCB-KR
28-07-2009,BDL - 2,9,50.0,,,50.0,MPCB-KR
29-07-2009,BDL - 2,BDL - 8,72.0,,,72.0,MPCB-KR
30-07-2009,BDL - 2,BDL - 8,64.0,,,64.0,MPCB-KR
31-07-2009,BDL - 2,BDL - 7,80.0,,,80.0,MPCB-KR
2009-01-08 00:00:00,BDL - 2,9,75.0,,,75.0,MPCB-KR
2009-02-08 00:00:00,BDL - 2,BDL - 7,55.0,,,55.0,MPCB-KR
2009-03-08 00:00:00,BDL - 2,11,65.0,,,65.0,MPCB-KR
2009-04-08 00:00:00,BDL - 2,10,80.0,,,80.0,MPCB-KR
2009-06-08 00:00:00,BDL - 2,BDL - 8,77.0,,,77.0,MPCB-KR
2009-08-08 00:00:00,BDL - 2,BDL - 8,65.0,,,65.0,MPCB-KR
2009-09-08 00:00:00,BDL - 2,BDL - 6,73.0,,,73.0,MPCB-KR
2009-10-08 00:00:00,BDL - 2,9,75.0,,,75.0,MPCB-KR
2009-11-08 00:00:00,BDL - 2,BDL - 7,73.0,,,73.0,MPCB-KR
2009-12-08 00:00:00,BDL - 2,BDL - 6,69.0,,,69.0,MPCB-KR
13-08-2009,BDL - NA,BDL - NA,64.0,,,64.0,MPCB-KR
14-08-2009,BDL - NA,BDL - NA,63.0,,,63.0,MPCB-KR
15-08-2009,BDL - NA,BDL - NA,50.0,,,50.0,MPCB-KR
16-08-2009,BDL - NA,BDL - NA,48.0,,,48.0,MPCB-KR
17-08-2009,BDL - NA,BDL - NA,62.0,,,62.0,MPCB-KR
18-08-2009,13,9,63.0,,,63.0,MPCB-KR
19-08-2009,10,13,72.0,,,72.0,MPCB-KR
20-08-2009,9,10,56.0,,,56.0,MPCB-KR
22-08-2009,9,BDL - 7,68.0,,,68.0,MPCB-KR
23-08-2009,8,BDL - 6,45.0,,,45.0,MPCB-KR
24-08-2009,9,9,52.0,,,52.0,MPCB-KR
25-08-2009,8,BDL - 7,42.0,,,42.0,MPCB-KR
26-08-2009,8,BDL - 6,57.0,,,57.0,MPCB-KR
27-08-2009,8,BDL - 5,59.0,,,59.0,MPCB-KR
28-08-2009,7,9,55.0,,,55.0,MPCB-KR
29-08-2009,8,9,35.0,,,35.0,MPCB-KR
30-08-2009,8,BDL - 6,35.0,,,35.0,MPCB-KR
31-08-2009,8,9,53.0,,,53.0,MPCB-KR
2009-01-09 00:00:00,8,BDL - 8,49.0,,,49.0,MPCB-KR
2009-02-09 00:00:00,9,10,40.0,,,40.0,MPCB-KR
2009-03-09 00:00:00,9,BDL - 6,29.0,,,29.0,MPCB-KR
2009-04-09 00:00:00,9,BDL - 7,27.0,,,27.0,MPCB-KR
2009-05-09 00:00:00,9,9,36.0,,,36.0,MPCB-KR
2009-06-09 00:00:00,9,BDL - 8,42.0,,,42.0,MPCB-KR
2009-07-09 00:00:00,9,9,51.0,,,51.0,MPCB-KR
2009-08-09 00:00:00,8,BDL - 7,57.0,,,57.0,MPCB-KR
2009-10-09 00:00:00,8,10,63.0,,,63.0,MPCB-KR
14-09-2009,10,16,66.0,,,66.0,MPCB-KR
15-09-2009,9,11,65.0,,,65.0,MPCB-KR
16-09-2009,9,12,65.0,,,65.0,MPCB-KR
18-09-2009,9,14,78.0,,,78.0,MPCB-KR
19-09-2009,9,15,87.0,,,87.0,MPCB-KR
20-09-2009,9,11,87.0,,,87.0,MPCB-KR
21-09-2009,9,11,77.0,,,77.0,MPCB-KR
22-09-2009,9,12,72.0,,,72.0,MPCB-KR
23-09-2009,9,12,54.0,,,54.0,MPCB-KR
24-09-2009,9,15,58.0,,,58.0,MPCB-KR
26-09-2009,8,11,68.0,,,68.0,MPCB-KR
27-09-2009,9,9,72.0,,,72.0,MPCB-KR
28-09-2009,9,BDL - 8,71.0,,,71.0,MPCB-KR
29-09-2009,9,BDL - 8,77.0,,,77.0,MPCB-KR
30-09-2009,9,BDL - 7,84.0,,,84.0,MPCB-KR
2009-01-10 00:00:00,10,BDL - 8,83.0,,,83.0,MPCB-KR
2009-02-10 00:00:00,9,9,84.0,,,84.0,MPCB-KR
2009-03-10 00:00:00,10,BDL - 7,64.0,,,64.0,MPCB-KR
2009-04-10 00:00:00,9,BDL - 8,36.0,,,36.0,MPCB-KR
2009-05-10 00:00:00,10,BDL - 8,31.0,,,31.0,MPCB-KR
2009-06-10 00:00:00,10,10,64.0,,,64.0,MPCB-KR
2009-07-10 00:00:00,9,10,83.0,,,83.0,MPCB-KR
2009-08-10 00:00:00,11,20,75.0,,,75.0,MPCB-KR
2009-09-10 00:00:00,11,30,72.0,,,72.0,MPCB-KR
2009-10-10 00:00:00,11,40,77.0,,,77.0,MPCB-KR
2009-11-10 00:00:00,10,35,78.0,,,78.0,MPCB-KR
2009-12-10 00:00:00,11,41,89.0,,,89.0,MPCB-KR
13-10-2009,11,38,80.0,,,80.0,MPCB-KR
16-10-2009,11,44,98.0,,,98.0,MPCB-KR
17-10-2009,13,38,198.0,,,165.0,MPCB-KR
18-10-2009,12,34,87.0,,,87.0,MPCB-KR
19-10-2009,12,37,93.0,,,93.0,MPCB-KR
20-10-2009,11,34,81.0,,,81.0,MPCB-KR
21-10-2009,12,46,87.0,,,87.0,MPCB-KR
22-10-2009,14,39,87.0,,,87.0,MPCB-KR
23-10-2009,14,46,86.0,,,86.0,MPCB-KR
24-10-2009,13,37,61.0,,,61.0,MPCB-KR
25-10-2009,13,37,64.0,,,64.0,MPCB-KR
26-10-2009,15,39,77.0,,,77.0,MPCB-KR
27-10-2009,18,48,84.0,,,84.0,MPCB-KR
28-10-2009,24,52,103.0,,,102.0,MPCB-KR
29-10-2009,28,102,116.0,,,122.0,MPCB-KR
30-10-2009,31,142,107.0,,,162.0,MPCB-KR
31-10-2009,34,134,132.0,,,154.0,MPCB-KR
2009-01-11 00:00:00,22,75,101.0,,,101.0,MPCB-KR
2009-02-11 00:00:00,25,86,83.0,,,106.0,MPCB-KR
2009-03-11 00:00:00,35,140,116.0,,,160.0,MPCB-KR
2009-04-11 00:00:00,32,140,133.0,,,160.0,MPCB-KR
2009-05-11 00:00:00,24,119,111.0,,,139.0,MPCB-KR
2009-06-11 00:00:00,21,106,88.0,,,126.0,MPCB-KR
2009-07-11 00:00:00,21,98,79.0,,,118.0,MPCB-KR
2009-08-11 00:00:00,18,53,37.0,,,66.0,MPCB-KR
2009-09-11 00:00:00,15,46,31.0,,,58.0,MPCB-KR
2009-10-11 00:00:00,14,47,41.0,,,59.0,MPCB-KR
2009-11-11 00:00:00,13,27,16.0,,,34.0,MPCB-KR
2009-12-11 00:00:00,12,36,15.0,,,45.0,MPCB-KR
13-11-2009,12,58,37.0,,,73.0,MPCB-KR
14-11-2009,13,64,68.0,,,80.0,MPCB-KR
15-11-2009,15,85,52.0,,,105.0,MPCB-KR
16-11-2009,15,84,48.0,,,104.0,MPCB-KR
2009-08-12 00:00:00,12,87,104.0,,,107.0,MPCB-KR
17-01-2010,11,54,142.0,,,128.0,MPCB-KR
18-01-2010,19,106,181.0,,,154.0,MPCB-KR
19-01-2010,22,142,216.0,,,177.0,MPCB-KR
20-01-2010,20,118,211.0,,,174.0,MPCB-KR
21-01-2010,22,142,230.0,,,187.0,MPCB-KR
22-01-2010,21,122,198.0,,,165.0,MPCB-KR
23-01-2010,19,112,183.0,,,155.0,MPCB-KR
24-01-2010,18,80,164.0,,,143.0,MPCB-KR
25-01-2010,20,133,216.0,,,177.0,MPCB-KR
26-01-2010,13,88,167.0,,,145.0,MPCB-KR
27-01-2010,22,155,236.0,,,191.0,MPCB-KR
28-01-2010,20,130,251.0,,,201.0,MPCB-KR
29-01-2010,18,124,210.0,,,173.0,MPCB-KR
30-01-2010,20,145,261.0,,,211.0,MPCB-KR
31-01-2010,17,101,224.0,,,183.0,MPCB-KR
2010-01-02 00:00:00,11,73,189.0,,,159.0,MPCB-KR
2010-02-02 00:00:00,12,66,186.0,,,157.0,MPCB-KR
2010-03-02 00:00:00,8,60,177.0,,,151.0,MPCB-KR
2010-04-02 00:00:00,6,59,163.0,,,142.0,MPCB-KR
2010-05-02 00:00:00,10,108,211.0,,,174.0,MPCB-KR
2010-06-02 00:00:00,16,103,180.0,,,153.0,MPCB-KR
2010-07-02 00:00:00,11,97,184.0,,,156.0,MPCB-KR
2010-08-02 00:00:00,9,58,163.0,,,142.0,MPCB-KR
2010-09-02 00:00:00,7,48,161.0,,,141.0,MPCB-KR
2010-10-02 00:00:00,7,65,161.0,,,141.0,MPCB-KR
2010-11-02 00:00:00,6,45,184.0,,,156.0,MPCB-KR
2010-12-02 00:00:00,7,38,132.0,,,121.0,MPCB-KR
13-02-2010,9,58,188.0,,,159.0,MPCB-KR
14-02-2010,9,48,179.0,,,153.0,MPCB-KR
15-02-2010,15,81,182.0,,,155.0,MPCB-KR
16-02-2010,22,90,193.0,,,162.0,MPCB-KR
17-02-2010,18,135,223.0,,,182.0,MPCB-KR
18-02-2010,14,88,207.0,,,171.0,MPCB-KR
19-02-2010,8,51,131.0,,,121.0,MPCB-KR
20-02-2010,10,35,187.0,,,158.0,MPCB-KR
21-02-2010,10,45,129.0,,,119.0,MPCB-KR
22-02-2010,12,61,168.0,,,145.0,MPCB-KR
23-02-2010,10,53,182.0,,,155.0,MPCB-KR
24-02-2010,6,48,124.0,,,116.0,MPCB-KR
25-02-2010,9,68,150.0,,,133.0,MPCB-KR
26-02-2010,13,101,206.0,,,171.0,MPCB-KR
27-02-2010,14,117,224.0,,,183.0,MPCB-KR
28-02-2010,16,107,211.0,,,174.0,MPCB-KR
2010-01-03 00:00:00,14,67,190.0,,,160.0,MPCB-KR
2010-02-03 00:00:00,13,77,163.0,,,142.0,MPCB-KR
2010-03-03 00:00:00,11,48,149.0,,,133.0,MPCB-KR
2010-04-03 00:00:00,9,46,154.0,,,136.0,MPCB-KR
2010-05-03 00:00:00,7,46,136.0,,,124.0,MPCB-KR
2010-06-03 00:00:00,9,37,158.0,,,139.0,MPCB-KR
2010-07-03 00:00:00,8,60,160.0,,,140.0,MPCB-KR
2010-08-03 00:00:00,12,96,202.0,,,168.0,MPCB-KR
2010-09-03 00:00:00,14,126,224.0,,,183.0,MPCB-KR
2010-10-03 00:00:00,11,91,230.0,,,187.0,MPCB-KR
2010-11-03 00:00:00,11,121,202.0,,,168.0,MPCB-KR
2010-12-03 00:00:00,7,68,178.0,,,152.0,MPCB-KR
13-03-2010,6,82,173.0,,,149.0,MPCB-KR
14-03-2010,8,39,127.0,,,118.0,MPCB-KR
15-03-2010,8,60,119.0,,,113.0,MPCB-KR
16-03-2010,9,66,112.0,,,108.0,MPCB-KR
17-03-2010,10,71,133.0,,,122.0,MPCB-KR
18-03-2010,14,108,206.0,,,171.0,MPCB-KR
19-03-2010,7,64,178.0,,,152.0,MPCB-KR
20-03-2010,8,45,144.0,,,129.0,MPCB-KR
21-03-2010,6,43,170.0,,,147.0,MPCB-KR
22-03-2010,10,46,179.0,,,153.0,MPCB-KR
23-03-2010,10,50,162.0,,,141.0,MPCB-KR
24-03-2010,8,46,150.0,,,133.0,MPCB-KR
25-03-2010,8,49,176.0,,,151.0,MPCB-KR
26-03-2010,7,44,212.0,,,175.0,MPCB-KR
27-03-2010,7,39,200.0,,,167.0,MPCB-KR
28-03-2010,9,39,243.0,,,195.0,MPCB-KR
29-03-2010,10,50,248.0,,,199.0,MPCB-KR
30-03-2010,8,50,169.0,,,146.0,MPCB-KR
31-03-2010,BDL - NA,38,157.0,,,138.0,MPCB-KR
2010-01-04 00:00:00,4,31,132.0,,,121.0,MPCB-KR
2010-02-04 00:00:00,4,33,168.0,,,145.0,MPCB-KR
2010-03-04 00:00:00,6,54,166.0,,,144.0,MPCB-KR
2010-04-04 00:00:00,6,52,157.0,,,138.0,MPCB-KR
2010-05-04 00:00:00,9,76,179.0,,,153.0,MPCB-KR
2010-06-04 00:00:00,11,90,185.0,,,157.0,MPCB-KR
2010-07-04 00:00:00,11,104,211.0,,,174.0,MPCB-KR
2010-08-04 00:00:00,10,73,192.0,,,161.0,MPCB-KR
2010-09-04 00:00:00,4,45,142.0,,,128.0,MPCB-KR
2010-10-04 00:00:00,BDL - 3,43,149.0,,,133.0,MPCB-KR
2010-11-04 00:00:00,4,39,147.0,,,131.0,MPCB-KR
2010-12-04 00:00:00,6,53,183.0,,,155.0,MPCB-KR
13-04-2010,8,51,158.0,,,139.0,MPCB-KR
14-04-2010,4,35,199.0,,,166.0,MPCB-KR
15-04-2010,BDL - 3,41,182.0,,,155.0,MPCB-KR
16-04-2010,BDL - 3,35,185.0,,,157.0,MPCB-KR
17-04-2010,4,29,129.0,,,119.0,MPCB-KR
18-04-2010,4,30,187.0,,,158.0,MPCB-KR
19-04-2010,BDL - 3,18,116.0,,,111.0,MPCB-KR
20-04-2010,5,21,112.0,,,108.0,MPCB-KR
21-04-2010,6,22,109.0,,,106.0,MPCB-KR
22-04-2010,4,35,126.0,,,117.0,MPCB-KR
23-04-2010,4,39,188.0,,,159.0,MPCB-KR
24-04-2010,6,51,179.0,,,153.0,MPCB-KR
25-04-2010,5,29,136.0,,,124.0,MPCB-KR
26-04-2010,6,33,129.0,,,119.0,MPCB-KR
27-04-2010,6,33,129.0,,,119.0,MPCB-KR
28-04-2010,7,28,143.0,,,129.0,MPCB-KR
30-04-2010,5,50,138.0,,,125.0,MPCB-KR
2010-01-05 00:00:00,BDL - 2,23,109.0,,,106.0,MPCB-KR
2010-02-05 00:00:00,BDL - 3,29,98.0,,,98.0,MPCB-KR
2010-03-05 00:00:00,5,43,119.0,,,113.0,MPCB-KR
2010-04-05 00:00:00,4,40,96.0,,,96.0,MPCB-KR
2010-05-05 00:00:00,5,31,124.0,,,116.0,MPCB-KR
2010-06-05 00:00:00,5,28,118.0,,,112.0,MPCB-KR
2010-07-05 00:00:00,6,45,128.0,,,119.0,MPCB-KR
2010-08-05 00:00:00,BDL - 3,37,141.0,,,127.0,MPCB-KR
2010-09-05 00:00:00,4,28,141.0,,,127.0,MPCB-KR
2010-10-05 00:00:00,6,34,143.0,,,129.0,MPCB-KR
2010-11-05 00:00:00,6,32,145.0,,,130.0,MPCB-KR
2010-12-05 00:00:00,60,27,114.0,,,109.0,MPCB-KR
13-05-2010,50,21,109.0,,,106.0,MPCB-KR
14-05-2010,BDL - 3,20,125.0,,,117.0,MPCB-KR
15-05-2010,30,21,114.0,,,109.0,MPCB-KR
16-05-2010,40,20,115.0,,,110.0,MPCB-KR
17-05-2010,4,24,124.0,,,116.0,MPCB-KR
18-05-2010,6,33,143.0,,,129.0,MPCB-KR
19-05-2010,8,28,145.0,,,130.0,MPCB-KR
20-05-2010,9,25,70.0,,,70.0,MPCB-KR
22-05-2010,BDL - 3,12,146.0,,,131.0,MPCB-KR
23-05-2010,4,12,146.0,,,131.0,MPCB-KR
24-05-2010,5,14,147.0,,,131.0,MPCB-KR
25-05-2010,10,12,113.0,,,109.0,MPCB-KR
26-05-2010,8,12,123.0,,,115.0,MPCB-KR
27-05-2010,12,10,121.0,,,114.0,MPCB-KR
28-05-2010,10,12,89.0,,,89.0,MPCB-KR
29-05-2010,12,30,93.0,,,93.0,MPCB-KR
30-05-2010,15,34,79.0,,,79.0,MPCB-KR
31-05-2010,8,26,77.0,,,77.0,MPCB-KR
2010-01-06 00:00:00,4,28,58.0,,,58.0,MPCB-KR
2010-02-06 00:00:00,10,30,68.0,,,68.0,MPCB-KR
2010-03-06 00:00:00,14,58,88.0,,,88.0,MPCB-KR
2010-05-06 00:00:00,13,17,69.0,,,69.0,MPCB-KR
2010-06-06 00:00:00,14,13,53.0,,,53.0,MPCB-KR
2010-07-06 00:00:00,14,18,74.0,,,74.0,MPCB-KR
2010-08-06 00:00:00,12,22,79.0,,,79.0,MPCB-KR
2010-09-06 00:00:00,12,24,94.0,,,94.0,MPCB-KR
2010-10-06 00:00:00,12,30,92.0,,,92.0,MPCB-KR
2010-11-06 00:00:00,13,46,72.0,,,72.0,MPCB-KR
